Nombre de artículo,Descripción de artículo,Subinventario,Cantidad,Artículo - Unidad de medida principal,Organización de inventario,Ubicación de inventario de localizador
1001-BS-PQ100,1001-BS-PQ100 BOLSA STAND UP POUCH CIERRE TRANSPARENTE 500 G,PRIME,3,PAQUETE,AMAZON,
1002-BS,BOLSA STAND UP POUCH CIERRE TRANSPARENTE 140 GR,INV PSD,200,PIEZA,PSD_CAT,EST.A.03.C
1002-BS-PQ100,1002-BS-PQ100 BOLSA STAND UP POUCH CIERRE TRANSPARENTE 140 GR,FULL,1,PAQUETE,MERCADO_LIBRE,
1007-BS,BOLSA STAND UP POUCH CIERRE PAPEL BLANCO - VENTANA 250 GR,INV PSD,1500,PIEZA,PSD_CAT,EST.C.05.A
1007-BS-PQ100,1007-BS-PQ100 Bolsa stand up pouch cierre blanco mate con ventana 250 gr,FULL,12,PAQUETE,MERCADO_LIBRE,
1007-BS-PQ100,1007-BS-PQ100 Bolsa stand up pouch cierre blanco mate con ventana 250 gr,PRIME,6,PAQUETE,AMAZON,
100896153,JABON SOFT CARE BASIC 20L,INV MTY,1,PIEZA,LOGISTORAGE_MTY,DISPONIBLE...
1009-BS,BOLSA STAND UP POUCH LAMINADA CIERRE BLANCO MATE 40 GR,INV PSD,3000,PIEZA,PSD_CAT,EST.E.08.C
1009-BS-PQ100,1009-BS-PQ100 Bolsa stand up pouch cierre blanco mate 40 gramos,FULL,20,PAQUETE,MERCADO_LIBRE,
1009-BS-PQ100,1009-BS-PQ100 Bolsa stand up pouch cierre blanco mate 40 gramos,INV PSD,4,PAQUETE,PSD_CAT,EST.F.02.B
1009-BS-PQ100,1009-BS-PQ100 Bolsa stand up pouch cierre blanco mate 40 gramos,PRIME,14,PAQUETE,AMAZON,
101103937,VIREX II 256 DESINFECTANTE 5 LITROS,INV CAT,24,PIEZA,DHL_CAT,1.E.0.4B
101103937,VIREX II 256 DESINFECTANTE 5 LITROS,INV MTY,1,PIEZA,LOGISTORAGE_MTY,DISPONIBLE...
1047-001-PQ02,1047-001-PQ02 GUANTE DOBLE RESISTENCIA TALLA 7,INV PSD,14,PAQUETE,PSD_CAT,EST.G.05.C
1047-001-PQ05,1047-001-PQ05 GUANTE DOBLE RESISTENCIA TALLA 7,INV PSD,1,PAQUETE,PSD_CAT,EST.B.02.C
1047-001-PQ10,1047-001-PQ10 GUANTE DOBLE RESISTENCIA TALLA 7,INV PSD,1,PAQUETE,PSD_CAT,EST.F.02.B
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV CAT,225,PIEZA,DHL_CAT,3.L.2.3
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV CAT,250,PIEZA,DHL_CAT,4.L.2.6
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV PSD,200,PIEZA,PSD_CAT,4.G.0.5
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV PSD,250,PIEZA,PSD_CAT,4.G.0.6
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV PSD,250,PIEZA,PSD_CAT,4.G.0.9
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV PSD,118,PIEZA,PSD_CAT,STGR...
10X12X16-PQ25,10X12X16-PQ25 CAJA 10 x 12 x 16,INV PSD,3,PAQUETE,PSD_CAT,PS.L.05.
10X12X16-PQ25,10X12X16-PQ25 CAJA 10 x 12 x 16,PRIME,10,PAQUETE,AMAZON,
10X9X4,CAJA 16 10X9X4,INV CAT,500,PIEZA,DHL_CAT,3.K.2.6
10X9X4,CAJA 16 10X9X4,INV CAT,750,PIEZA,DHL_CAT,3.K.2.7
10X9X4,CAJA 16 10X9X4,INV CAT,700,PIEZA,DHL_CAT,3.K.2.8
10X9X4,CAJA 16 10X9X4,INV PSD,746,PIEZA,PSD_CAT,1.G.1.3
10X9X4,CAJA 16 10X9X4,INV PSD,28,PIEZA,PSD_CAT,EST.A.09.C
10X9X4-PQ25,10X9X4-PQ25 10X9X4,PRIME,4,PAQUETE,AMAZON,
11.8X7.8X4,Caja 19 11.8 X 7.8 X 4,INV PSD,105,PIEZA,PSD_CAT,1.G.0.3
11.8X7.8X4-PQ25,11.8X7.8X4-PQ25 Caja 19 11.8 X 7.8 X 4,INV PSD,2,PAQUETE,PSD_CAT,EST.A.01.B
11.8X7.8X4-PQ25,11.8X7.8X4-PQ25 Caja 19 11.8 X 7.8 X 4,PRIME,5,PAQUETE,AMAZON,
1413,WYPALL® X80PLUS FOOD SERVICE AZUL,INV CAT,40,PAQUETE,DHL_CAT,1.E.0.1B
1414,WYPALL® X80PLUS FOOD SERVICE VERDE,INV CAT,30,PAQUETE,DHL_CAT,1.E.0.4C
1415,WYPALL® X80PLUS FOOD SERVICE AMARILLO,INV CAT,30,PAQUETE,DHL_CAT,1.E.0.6C
1416,WYPALL® X80PLUS FOOD SERVICE ROJO,INV CAT,20,PAQUETE,DHL_CAT,1.E.0.5B
1472.,KIMTECH PREP* KIMTEX* WIPERS JUMBO ROLL,INV CAT,1,PIEZA,DHL_CAT,1.F.0.6C
15.3X7X13,Caja 21 15.3 X 7 X 13,INV PSD,200,PIEZA,PSD_CAT,1.G.0.3
15.3X7X13,Caja 21 15.3 X 7 X 13,INV PSD,500,PIEZA,PSD_CAT,4.G.0.1
15.3X7X13,Caja 21 15.3 X 7 X 13,INV PSD,23,PIEZA,PSD_CAT,EST.A.01.A
15.3X7X13-PQ25,15.3X7X13-PQ25 Caja 21 15.3 X 7 X 13,PRIME,13,PAQUETE,AMAZON,
1513,WYPALL® L30 CUATRIFOLDEADOS 90WX12,INV CAT,60,PAQUETE,DHL_CAT,1.F.0.9A
1520.,WYPALL® X80 JUMBO ROLL,INV CAT,3,PIEZA,DHL_CAT,1.E.0.7C
1520.-PZ,1520.-PZ WYPALL® X80 JUMBO ROLL (1 pieza),INV PSD,2,PIEZA,PSD_CAT,EST.H.07.D
1543,SCOTT SHOP TOWEL SIX PACK,INV MTY,2,PAQUETE,LOGISTORAGE_MTY,I.1.A.11
15X12X3,CAJA 04 38.10 X 30.48 X 7.62,INV PSD,562,PIEZA,PSD_CAT,5.G.1.2
15X12X3-PQ25,15X12X3-PQ25 CAJA 04 38.10 X 30.48 X 7.62,INV PSD,1,PAQUETE,PSD_CAT,PS.M.05.
15X12X3-PQ25,15X12X3-PQ25 CAJA 04 38.10 X 30.48 X 7.62,PRIME,6,PAQUETE,AMAZON,
15X15X7,Caja 18 15X15X7,INV CAT,6,PIEZA,DHL_CAT,5.N.0.3
15X15X7,Caja 18 15X15X7,INV PSD,50,PIEZA,PSD_CAT,4.G.1.0
15X15X7,Caja 18 15X15X7,INV PSD,40,PIEZA,PSD_CAT,EST.A.11.D
15X15X7,Caja 18 15X15X7,INV PSD,302,PIEZA,PSD_CAT,STGR...
15X15X7,Caja 18 15X15X7,INVCUAU,478,PIEZA,CUAUTIPARKII,F.26..
15X15X7-PQ15,15X15X7-PQ15 CAJA 18 15X15X7 PAQUETE CON 15 PIEZAS,INV PSD,2,PAQUETE,PSD_CAT,PS.M.12.
15X15X7-PQ15,15X15X7-PQ15 CAJA 18 15X15X7 PAQUETE CON 15 PIEZAS,PRIME,15,PAQUETE,AMAZON,
17X9X9,CAJA 06 43.18 X 22.86 X 22.86,INV CAT,25,PIEZA,DHL_CAT,1.E.0.8C
17X9X9,CAJA 06 43.18 X 22.86 X 22.86,INV PSD,40,PIEZA,PSD_CAT,1.G.0.4
17X9X9,CAJA 06 43.18 X 22.86 X 22.86,INV PSD,250,PIEZA,PSD_CAT,2.G.0.5
17X9X9,CAJA 06 43.18 X 22.86 X 22.86,INV PSD,250,PIEZA,PSD_CAT,3.G.0.5
17X9X9,CAJA 06 43.18 X 22.86 X 22.86,INV PSD,250,PIEZA,PSD_CAT,4.G.0.7
17X9X9,CAJA 06 43.18 X 22.86 X 22.86,INV PSD,250,PIEZA,PSD_CAT,4.G.0.8
17X9X9,CAJA 06 43.18 X 22.86 X 22.86,INV PSD,42,PIEZA,PSD_CAT,EST.A.08.A
17X9X9,CAJA 06 43.18 X 22.86 X 22.86,INV PSD,63,PIEZA,PSD_CAT,EST.A.09.D
17X9X9-PQ25,17X9X9-PQ25 CAJA 17 x 9 x 9,PRIME,4,PAQUETE,AMAZON,
18.5X8.6X15,Caja 22 18.5 X 8.6 X 15,INV PSD,350,PIEZA,PSD_CAT,4.G.1.1
18.5X8.6X15,Caja 22 18.5 X 8.6 X 15,INV PSD,39,PIEZA,PSD_CAT,EST.A.05.B
18.5X8.6X15,Caja 22 18.5 X 8.6 X 15,INV PSD,119,PIEZA,PSD_CAT,STGR...
18.5X8.6X15-PQ25,18.5X8.6X15-PQ25 Caja 22 18.5 X 8.6 X 15,INV PSD,1,PAQUETE,PSD_CAT,PS.M.11.
18.5X8.6X15-PQ25,18.5X8.6X15-PQ25 Caja 22 18.5 X 8.6 X 15,PRIME,8,PAQUETE,AMAZON,
18X8X6,CAJA 15 18X8X6,INV CAT,200,PIEZA,DHL_CAT,3.L.1.8
18X8X6,CAJA 15 18X8X6,INV CAT,375,PIEZA,DHL_CAT,3.L.2.1
18X8X6,CAJA 15 18X8X6,INV CAT,375,PIEZA,DHL_CAT,4.L.1.8
18X8X6,CAJA 15 18X8X6,INV PSD,1,PIEZA,PSD_CAT,1.G.0.4
18X8X6,CAJA 15 18X8X6,INV PSD,282,PIEZA,PSD_CAT,PS.M.01.
18X8X6-PQ25,18X8X6-PQ25 CAJA 18X8X6,PRIME,5,PAQUETE,AMAZON,
20X12X12,CAJA 03 50.80 X 30.48 X 30.48,INV CAT,300,PIEZA,DHL_CAT,5.M.0.4
20X12X12,CAJA 03 50.80 X 30.48 X 30.48,INV CAT,250,PIEZA,DHL_CAT,5.M.1.4
20X12X12,CAJA 03 50.80 X 30.48 X 30.48,INV PSD,38,PIEZA,PSD_CAT,EST.A.10.C
20X12X12,CAJA 03 50.80 X 30.48 X 30.48,INV PSD,160,PIEZA,PSD_CAT,STGR...
20X12X12-PQ25,20X12X12-PQ25 CAJA 20 x 12 x 12,INV PSD,7,PAQUETE,PSD_CAT,DEP.1..
20X12X12-PQ25,20X12X12-PQ25 CAJA 20 x 12 x 12,PRIME,17,PAQUETE,AMAZON,
20X6X6,CAJA 12 50.80 X 15.24 X 15.24,INV CAT,500,PIEZA,DHL_CAT,4.L.0.5
20X6X6,CAJA 12 50.80 X 15.24 X 15.24,INV CAT,500,PIEZA,DHL_CAT,4.M.0.3
20X6X6,CAJA 12 50.80 X 15.24 X 15.24,INV PSD,473,PIEZA,PSD_CAT,2.G.0.1
20X6X6,CAJA 12 50.80 X 15.24 X 15.24,INV PSD,500,PIEZA,PSD_CAT,2.G.0.9
20X6X6,CAJA 12 50.80 X 15.24 X 15.24,INV PSD,435,PIEZA,PSD_CAT,3.G.0.9
20X6X6-PQ25,20X6X6-PQ25 CAJA 20 x 6 x 6,PRIME,23,PAQUETE,AMAZON,
23X17X11,CAJA 11 58.42 X 43.18 X 27.94,INV PSD,6,PIEZA,PSD_CAT,1.G.1.4
23X17X11,CAJA 11 58.42 X 43.18 X 27.94,INV PSD,125,PIEZA,PSD_CAT,3.G.0.6
23X17X11,CAJA 11 58.42 X 43.18 X 27.94,INV PSD,125,PIEZA,PSD_CAT,3.G.1.0
23X17X11,CAJA 11 58.42 X 43.18 X 27.94,INV PSD,2,PIEZA,PSD_CAT,3.G.1.2
23X17X11,CAJA 11 58.42 X 43.18 X 27.94,INV PSD,51,PIEZA,PSD_CAT,4.G.0.2
23X17X11,CAJA 11 58.42 X 43.18 X 27.94,INV PSD,125,PIEZA,PSD_CAT,5.G.1.1
23X17X11,CAJA 11 58.42 X 43.18 X 27.94,INV PSD,2,PIEZA,PSD_CAT,EST.A.08.D
23X17X11,CAJA 11 58.42 X 43.18 X 27.94,INV PSD,98,PIEZA,PSD_CAT,STGR...
23X17X11-PQ25,23X17X11-PQ25 CAJA 23 x 17 x 11,INV PSD,1,PAQUETE,PSD_CAT,PS.L.07.
23X17X11-PQ25,23X17X11-PQ25 CAJA 23 x 17 x 11,PRIME,9,PAQUETE,AMAZON,
24.6X22.5X29.1,Caja 23 24.6 X 22.5 X 29.1,INV CAT,10,PIEZA,DHL_CAT,1.F.0.5B
24.6X22.5X29.1,Caja 23 24.6 X 22.5 X 29.1,INV PSD,9,PIEZA,PSD_CAT,1.G.1.4
24.6X22.5X29.1,Caja 23 24.6 X 22.5 X 29.1,INV PSD,350,PIEZA,PSD_CAT,STGR...
24.6X22.5X29.1,Caja 23 24.6 X 22.5 X 29.1,INVCUAU,240,PIEZA,CUAUTIPARKII,B.09.a.
24.6X22.5X29.1,Caja 23 24.6 X 22.5 X 29.1,INVCUAU,240,PIEZA,CUAUTIPARKII,B.12.a.
24.6X22.5X29.1,Caja 23 24.6 X 22.5 X 29.1,INVCUAU,240,PIEZA,CUAUTIPARKII,B.13.a.
24.6X22.5X29.1,Caja 23 24.6 X 22.5 X 29.1,INVCUAU,240,PIEZA,CUAUTIPARKII,B.15.a.
24.6X22.5X29.1,Caja 23 24.6 X 22.5 X 29.1,INVCUAU,260,PIEZA,CUAUTIPARKII,C.01.a.
24.6X22.5X29.1,Caja 23 24.6 X 22.5 X 29.1,INVCUAU,240,PIEZA,CUAUTIPARKII,C.04.a.
24.6X22.5X29.1,Caja 23 24.6 X 22.5 X 29.1,INVCUAU,240,PIEZA,CUAUTIPARKII,C.06.a.
24.6X22.5X29.1-PQ25,24.6X22.5X29.1-PQ25 Caja 23 24.6 X 22.5 X 29.1,INV PSD,1,PAQUETE,PSD_CAT,PS.K.07.
24X12X12,CAJA 05 60.96 X 30.48 X 30.48,INV CAT,125,PIEZA,DHL_CAT,5.L.1.5
24X12X12,CAJA 05 60.96 X 30.48 X 30.48,INV CAT,250,PIEZA,DHL_CAT,5.L.1.6
24X12X12,CAJA 05 60.96 X 30.48 X 30.48,INV CAT,250,PIEZA,DHL_CAT,5.M.1.8
24X12X12,CAJA 05 60.96 X 30.48 X 30.48,INV PSD,148,PIEZA,PSD_CAT,3.G.0.7
24X12X12,CAJA 05 60.96 X 30.48 X 30.48,INV PSD,167,PIEZA,PSD_CAT,STGR...
24X12X12-PQ25,24X12X12-PQ25 CAJA 24 x 12 x 12,PRIME,20,PAQUETE,AMAZON,
3.7X3.7X14,Caja 20 3.7 X 3.7 X 14,INV PSD,16,PIEZA,PSD_CAT,EST.A.07.A
3.7X3.7X14,Caja 20 3.7 X 3.7 X 14,INV PSD,550,PIEZA,PSD_CAT,STGR...
3.7X3.7X14-PQ25,3.7X3.7X14-PQ25 Caja 20 3.7 X 3.7 X 14,PRIME,7,PAQUETE,AMAZON,
30X18X16,CAJA 10 76.20 X 45.72 X 40.64,INV CAT,4,PIEZA,DHL_CAT,5.M.1.7
30X18X16,CAJA 10 76.20 X 45.72 X 40.64,INV PSD,25,PIEZA,PSD_CAT,2.G.0.8
30X18X16,CAJA 10 76.20 X 45.72 X 40.64,INV PSD,39,PIEZA,PSD_CAT,EST.A.12.C
30X18X16,CAJA 10 76.20 X 45.72 X 40.64,INV PSD,8,PIEZA,PSD_CAT,PS.M.01.
30X18X16-PQ10,30X18X16-PQ10 CAJA 30 x 18 x 16,INV PSD,2,PAQUETE,PSD_CAT,PS.M.10.
30X18X16-PQ10,30X18X16-PQ10 CAJA 30 x 18 x 16,PRIME,52,PAQUETE,AMAZON,
40X33X60,CAJA 40X33X60 32 ECT / Flauta C,INV CAT,50,PIEZA,DHL_CAT,3.D.2.7
40X33X60,CAJA 40X33X60 32 ECT / Flauta C,INV MRD,2360,PIEZA,WHM_MRD,UMAN...
40X40X15,Caja 40 x 40 x 15,INV CAT,130,PIEZA,DHL_CAT,2.L.1.8
40X40X15,Caja 40 x 40 x 15,INV CAT,150,PIEZA,DHL_CAT,2.L.1.9
4X4X10,CAJA 09 10.16 X 10.16 X 25.40,INV PSD,920,PIEZA,PSD_CAT,1.G.0.1
4X4X10,CAJA 09 10.16 X 10.16 X 25.40,INV PSD,2146,PIEZA,PSD_CAT,STGR...
4X4X10-PQ25,4X4X10-PQ25 CAJA 4 x 4 x 10,PRIME,12,PAQUETE,AMAZON,
5X5X3,CAJA 08 12.70 X 12.70 X 7.62,INV PSD,1274,PIEZA,PSD_CAT,1.G.1.0
5X5X3-PQ25,5X5X3-PQ25 CAJA 5 x 5 x 3,INV PSD,1,PAQUETE,PSD_CAT,EST.D.01.B
5X5X3-PQ25,5X5X3-PQ25 CAJA 5 x 5 x 3,PRIME,18,PAQUETE,AMAZON,
89328,PAÑUELO FACIAL KLEENEX® 36 SELECTION CUBO CON 90 PAÑUELOS,INV CAT,36,CAJILLA,DHL_CAT,2.G.4.1
89328,PAÑUELO FACIAL KLEENEX® 36 SELECTION CUBO CON 90 PAÑUELOS,INV CAT,144,CAJILLA,DHL_CAT,2.K.0.6
89328,PAÑUELO FACIAL KLEENEX® 36 SELECTION CUBO CON 90 PAÑUELOS,INV CAT,864,CAJILLA,DHL_CAT,4.L.1.2
89330,PAÑUELO FACIAL KLEENEX® (Cajilla con 90 pañuelos),INV PSD,2,CAJILLA,PSD_CAT,EST.B.02.C
89330,PAÑUELO FACIAL KLEENEX® (Cajilla con 90 pañuelos),INV PSD,152,CAJILLA,PSD_CAT,PS.K.14.
89330-CJ10,89330-CJ10 PAÑUELO FACIAL KLEENEX® (Cajilla con 90 pañuelos) PAQUETE CON 10 CAJILLAS CON 90 PAÑUELOS,INV PSD,1,CAJA,PSD_CAT,EST.E.02.C
89330-CJ5,89330-CJ5 PAÑUELO FACIAL KLEENEX® (Cajilla con 90 pañuelos) PAQUETE CON 5 CAJILLAS CON 90 PAÑUELOS,FULL,11,CAJA,MERCADO_LIBRE,
89330-CJ5,89330-CJ5 PAÑUELO FACIAL KLEENEX® (Cajilla con 90 pañuelos) PAQUETE CON 5 CAJILLAS CON 90 PAÑUELOS,INV PSD,2,CAJA,PSD_CAT,EST.A.04.A
89330-PZ,89330-PZ PAÑUELO FACIAL KLEENEX® (Cajilla con 90 pañuelos) 1 Pieza,INV PSD,13,PIEZA,PSD_CAT,EST.A.02.C
8X8X3,CAJA 07 20.32 X 20.32 X 7.62,INV PSD,563,PIEZA,PSD_CAT,1.G.0.1
8X8X3-PQ25,8X8X3-PQ25 CAJA 8 x 8 x 3,INV PSD,4,PAQUETE,PSD_CAT,DEP.1..
8X8X3-PQ25,8X8X3-PQ25 CAJA 8 x 8 x 3,PRIME,8,PAQUETE,AMAZON,
90449,HIGIENICO PETALO 1S,INV CAT,3,CAJA,DHL_CAT,1.L.0.8
90454,HIGIENICO JUMBO MARLI® Jr 200 m x 8.5 cm (Caja 12 pzs),INV PSD,2,CAJA,PSD_CAT,EST.C.01.C
90462-CJ6,90462-CJ HIGIENICO JUMBO MARLI? Sr 400 m x 8.5 cm PAQUETE CON 6 PZS,INV PSD,2,CAJA,PSD_CAT,EST.D.01.A
90509-CJ12,90509-CJ HIGIENICO JUMBO MARLI? Jr 200 m x 9.0 cm PAQUETE CON 12 PZS,INV PSD,1,CAJA,PSD_CAT,EST.A.06.B
90510,HIGIENICO JUMBO MARLI® Jr 400 m x 9.0 cm (Caja 6 pzs),INV CAT,26,CAJA,DHL_CAT,1.L.0.6
90510,HIGIENICO JUMBO MARLI® Jr 400 m x 9.0 cm (Caja 6 pzs),INV CAT,40,CAJA,DHL_CAT,2.L.1.6
90510,HIGIENICO JUMBO MARLI® Jr 400 m x 9.0 cm (Caja 6 pzs),INV CAT,20,CAJA,DHL_CAT,3.L.0.2
90510,HIGIENICO JUMBO MARLI® Jr 400 m x 9.0 cm (Caja 6 pzs),INV CAT,20,CAJA,DHL_CAT,4.M.1.7
90510,HIGIENICO JUMBO MARLI® Jr 400 m x 9.0 cm (Caja 6 pzs),INV CAT,40,CAJA,DHL_CAT,6.M.0.5
90510,HIGIENICO JUMBO MARLI® Jr 400 m x 9.0 cm (Caja 6 pzs),INV CAT,25,CAJA,DHL_CAT,6.M.0.6
90510-CJ6,90510-CJ HIGIENICO JUMBO MARLI? Jr 400 m x 9.0 cm PAQUETE CON 6 PZS,INV PSD,12,CAJA,PSD_CAT,PS.K.10.
91670,SERVILLETA TRAD KLEENEX® DE LUJO 100'S,INV CAT,12,PAQUETE,DHL_CAT,1.F.1.3C
91690,SERV B.MESA SR 250,INV CAT,24,PAQUETE,DHL_CAT,1.E.0.8B
91690,SERV B.MESA SR 250,INV CAT,96,PAQUETE,DHL_CAT,2.M.0.4
92221,TOALLA MANOS ROLLO PÉTALO® 180 M BLANCA X 6 PZAS,INV CAT,15,CAJA,DHL_CAT,2.J.1.1
92221,TOALLA MANOS ROLLO PÉTALO® 180 M BLANCA X 6 PZAS,INV CAT,42,CAJA,DHL_CAT,3.L.1.1
92221,TOALLA MANOS ROLLO PÉTALO® 180 M BLANCA X 6 PZAS,INV CAT,18,CAJA,DHL_CAT,3.M.0.5
92221,TOALLA MANOS ROLLO PÉTALO® 180 M BLANCA X 6 PZAS,INV CAT,40,CAJA,DHL_CAT,3.M.0.8
92221,TOALLA MANOS ROLLO PÉTALO® 180 M BLANCA X 6 PZAS,INV CAT,42,CAJA,DHL_CAT,4.M.0.8
92224,TOALLA MANOS ROLLO KLEENEX® ULTRA (Caja 6 pzs con 183 m c/u),INV CAT,3,CAJA,DHL_CAT,2.M.0.3
92231,TOALLA MANOS INT. SANITAS® (Caja 20 paq con 100 toallas c/u),INV CAT,1,CAJA,DHL_CAT,1.F.1.4C
92231,TOALLA MANOS INT. SANITAS® (Caja 20 paq con 100 toallas c/u),INV CAT,18,CAJA,DHL_CAT,3.L.1.6
92231,TOALLA MANOS INT. SANITAS® (Caja 20 paq con 100 toallas c/u),INV CAT,15,CAJA,DHL_CAT,3.M.1.5
92231-CJ,OR-XT4Z-J2CA TOALLA MANOS INT. SANITAS PAQUETE CON 20 PAQUETES CON 100 TOALLAS,INV PSD,2,CAJA,PSD_CAT,EST.C.03.D
92244,TOALLA MANOS ROLLO MARLI® ECOLOGICA 180 MTS X 6,INV CAT,35,CAJA,DHL_CAT,5.L.0.3
92257,TOALLA MANOS ROLLO MARLI® (Caja 6 pzs con 180mts c/u),INV CAT,1,CAJA,DHL_CAT,1.E.0.7C
92257,TOALLA MANOS ROLLO MARLI® (Caja 6 pzs con 180mts c/u),INV CAT,42,CAJA,DHL_CAT,5.J.0.5
92257,TOALLA MANOS ROLLO MARLI® (Caja 6 pzs con 180mts c/u),INV CAT,48,CAJA,DHL_CAT,6.M.0.9
92257,TOALLA MANOS ROLLO MARLI® (Caja 6 pzs con 180mts c/u),INV CAT,56,CAJA,DHL_CAT,6.M.1.0
92257,TOALLA MANOS ROLLO MARLI® (Caja 6 pzs con 180mts c/u),INV CAT,56,CAJA,DHL_CAT,6.M.1.1
92257,TOALLA MANOS ROLLO MARLI® (Caja 6 pzs con 180mts c/u),INV CAT,35,CAJA,DHL_CAT,6.N.0.3
92260,Despachador Toalla Int. Mini Plus Negro,INV CAT,6,CAJA,DHL_CAT,1.F.0.1B
92276,Despachador Toalla en Rollo Palanca Marli®,INV CAT,2,CAJA,DHL_CAT,1.F.0.1B
92307.,SCOTT® TOALLA INDUSTRIAL TAD 500 MTS,INV PSD,2,PIEZA,PSD_CAT,EST.C.10.D
92551.,TOALLITAS HUMEDAS DESINFECTANTES PARA SUPERFICIES 300 X 6,INV CAT,12,PIEZA,DHL_CAT,1.F.0.5B
92551.,TOALLITAS HUMEDAS DESINFECTANTES PARA SUPERFICIES 300 X 6,INV PSD,12,PIEZA,PSD_CAT,EST.B.01.A
92731,DESPACHADOR TOALLA EN ROLLO AUTOCUT MARLI,INV CAT,3,CAJA,DHL_CAT,1.F.0.4A
94208-PZ,94208-PZ DESP. HIG JUMBO JR PAQUETE CON 1 PZ,INV PSD,1,PIEZA,PSD_CAT,EST.H.07.D
94209-PZ,94209-PZ DESPACHADOR HIGIENICO JUMBO JR. BLANCO PAQUETE CON 1 PZ,INV PSD,1,PIEZA,PSD_CAT,EST.G.06.D
997-BS-PQ100,997-BS-PQ100 BOLSA STAND UP POUCH LAMINADA CIERRE BLANCO MATE 150 GR,FULL,4,PAQUETE,MERCADO_LIBRE,
9X8X12,CAJA 02 22.86 X 20.32 X 30.48,INV CAT,250,PIEZA,DHL_CAT,4.N.0.8
9X8X12,CAJA 02 22.86 X 20.32 X 30.48,INV CAT,500,PIEZA,DHL_CAT,5.G.4.7
9X8X12,CAJA 02 22.86 X 20.32 X 30.48,INV PSD,277,PIEZA,PSD_CAT,3.G.0.2
9X8X12,CAJA 02 22.86 X 20.32 X 30.48,INV PSD,500,PIEZA,PSD_CAT,4.G.0.3
9X8X12,CAJA 02 22.86 X 20.32 X 30.48,INV PSD,500,PIEZA,PSD_CAT,4.G.0.4
9X8X12-PQ25,9X8X12-PQ25 CAJA 9 x 8 x 12,PRIME,7,PAQUETE,AMAZON,
A19-PZ,EE-D6ON-XLHO MAQ. FLEJADORA MOD. A19,FULL,9,PIEZA,MERCADO_LIBRE,
A19-PZ,EE-D6ON-XLHO MAQ. FLEJADORA MOD. A19,INV PSD,2,PIEZA,PSD_CAT,EST.B.03.A
A19-PZ,EE-D6ON-XLHO MAQ. FLEJADORA MOD. A19,INV PSD,1,PIEZA,PSD_CAT,EST.H.04.A
A19-PZ,EE-D6ON-XLHO MAQ. FLEJADORA MOD. A19,INV PSD,8,PIEZA,PSD_CAT,EST.H.04.C
A19-PZ,EE-D6ON-XLHO MAQ. FLEJADORA MOD. A19,INV PSD,2,PIEZA,PSD_CAT,EST.H.04.D
A19-PZ,EE-D6ON-XLHO MAQ. FLEJADORA MOD. A19,PRIME,3,PIEZA,AMAZON,
A333,Manual sealless steel strapping tools A333,INV PSD,1,PIEZA,PSD_CAT,EST.A.01.D
AB50336022.,SERVILLETA DE MESA ELITE 1/4 25x25 500PZ/PQ,INV CAT,12,PAQUETE,DHL_CAT,1.E.0.4A
AB50336022.,SERVILLETA DE MESA ELITE 1/4 25x25 500PZ/PQ,INV PSD,24,PAQUETE,PSD_CAT,EST.A.03.B
AB50336022.-PQ500,AB50336022.-PQ500 Servilleta Elite de Mesa doblez 1/4 25x25 cm. Blanca H/S.,INV PSD,9,PAQUETE,PSD_CAT,EST.A.04.A
AB50336688,PH ELITE® BOBINA JUMBO H/D 500 MTS P/6 ROLLOS 9 CM.,INV CAT,2,CAJA,DHL_CAT,1.E.0.3B
AB50336688,PH ELITE® BOBINA JUMBO H/D 500 MTS P/6 ROLLOS 9 CM.,INV CAT,36,CAJA,DHL_CAT,5.L.0.5
AB50336688,PH ELITE® BOBINA JUMBO H/D 500 MTS P/6 ROLLOS 9 CM.,INV CAT,36,CAJA,DHL_CAT,6.N.0.6
AB50700952-CJ6,AB50700952-CJ TOALLA EN ROLLO ELITE? Classic 6/160 M PAQUETE CON 6 ROLLOS,INV PSD,1,CAJA,PSD_CAT,EST.H.07.A
AB52336015,"TOALLA INTERDOBLADA ELITE® Blanca H/D 21x24 Cms. 20x100; 2,000 pzas.",INV CAT,18,CAJA,DHL_CAT,6.N.0.2
AB52336015,"TOALLA INTERDOBLADA ELITE® Blanca H/D 21x24 Cms. 20x100; 2,000 pzas.",INV CAT,44,CAJA,DHL_CAT,6.N.1.0
AB52336015-CJ12,"AB52336015-CJ TOALLA INTERDOBLADA ELITE? Blanca H/D 21x24 Cms. 20x100; 2,000 pzas. PAQUETE CON 20 PAQUETES = 100 TOALLAS C/U",INV PSD,2,CAJA,PSD_CAT,PS.K.14.
AB52338057,PAPEL HIGINIECO ELITE® Bobina Junior H/D 200 Mts. c/12 rollos 9 cms.,INV CAT,12,CAJA,DHL_CAT,4.M.0.5
